Local Calc, Lattice Calc, Clock Local Calc, Clock Lattice Calc, Dipolar Local Calc, Dipolar Lattice Calc
4.35063, 4.35063, 4.5, 4.5, -0.149366, -0.149366
2.53685, 2.53685, 3.5, 3.5, -0.963148, -0.963148
3.43647, 3.43647, 4, 4, -0.563535, -0.563535
7.5, 7.5, 7.5, 7.5, 0, 0
4.84388, 4.84388, 4, 4, 0.843876, 0.843876
0, 0, -0, 0, 0, 0
8.96652, 8.96652, 9, 9, -0.0334795, -0.0334795
-2.22045e-16, 0, -2.22045e-16, 0, 0, 0
0.86967, 0.86967, 0.5, 0.5, 0.36967, 0.36967
3.54423, 3.54423, 4, 4, -0.455771, -0.455771
0, 0, -0, 0, 0, 0
0.286275, 0.286275, 1, 1, -0.713725, -0.713725
-0.273001, -0.273001, -1, -1, 0.726999, 0.726999
3.38767, 3.38767, 3, 3, 0.387666, 0.387666
-1.64969, -1.64969, -1.5, -1.5, -0.149689, -0.149689
3, 3, 3, 3, 0, 0
6.5607, 6.5607, 7, 7, -0.439295, -0.439295
5.61464, 5.61464, 5, 5, 0.614643, 0.614643
0.168298, 0.168298, -1.44329e-15, 0, 0.168298, 0.168298
7.5, 7.5, 7.5, 7.5, 0, 0
0, 0, -0, 0, 0, 0
0, 0, -0, 0, 0, 0
0, 0, -0, 0, 0, 0
3.1948, 3.1948, 3, 3, 0.194796, 0.194796
8.96124, 8.96124, 9, 9, -0.0387589, -0.0387589
6, 6, 6, 6, 0, 0
9.00697, 9.00697, 9, 9, 0.00696691, 0.00696691
6.71797, 6.71797, 7, 7, -0.282035, -0.282035
4.5, 4.5, 4.5, 4.5, 0, 0
2.78109, 2.78109, 2, 2, 0.781088, 0.781088
6.15918, 6.15918, 7, 7, -0.840817, -0.840817
6, 6, 6, 6, 0, 0
1.32837, 1.32837, 1.5, 1.5, -0.171634, -0.171634
1.5, 1.5, 1.5, 1.5, 0, 0
7.5, 7.5, 7.5, 7.5, 0, 0
-1.5, -1.5, -1.5, -1.5, 0, 0
5.49713, 5.49713, 5, 5, 0.497128, 0.497128
9, 9, 9, 9, 0, 0
0.886985, 0.886985, 0.5, 0.5, 0.386985, 0.386985
0, 0, -0, 0, 0, 0
1.37106, 1.37106, 3, 3, -1.62894, -1.62894
6, 6, 6, 6, 0, 0
0, 0, -0, 0, 0, 0
8.94785, 8.94785, 9, 9, -0.0521473, -0.0521473
5.41646, 5.41646, 5, 5, 0.416463, 0.416463
3, 3, 3, 3, 0, 0
-0.566635, -0.566635, -1, -1, 0.433365, 0.433365
7.5, 7.5, 7.5, 7.5, 0, 0
2.22516, 2.22516, 1, 1, 1.22516, 1.22516
2.33682, 2.33682, 3.5, 3.5, -1.16318, -1.16318
0, 0, -0, 0, 0, 0
6, 6, 6, 6, 0, 0
9.17113, 9.17113, 9, 9, 0.171132, 0.171132
0, 0, -0, 0, 0, 0
9.13646, 9.13646, 9, 9, 0.136458, 0.136458
4.12006, 4.12006, 3.5, 3.5, 0.620055, 0.620055
0.882452, 0.882452, 0.5, 0.5, 0.382452, 0.382452
1.78493, 1.78493, 1.5, 1.5, 0.284932, 0.284932
0, 0, -0, 0, 0, 0
3, 3, 3, 3, 0, 0
3.75269, 3.75269, 4, 4, -0.247309, -0.247309
9.65904, 9.65904, 10, 10, -0.340959, -0.340959
6, 6, 6, 6, 0, 0
3, 3, 3, 3, 0, 0
0, 0, -0, 0, 0, 0
8.61424, 8.61424, 8, 8, 0.614239, 0.614239
0.212088, 0.212088, -3.33067e-16, 0, 0.212088, 0.212088
-1.5, -1.5, -1.5, -1.5, 0, 0
3.0459, 3.0459, 3, 3, 0.0459022, 0.0459022
7.5, 7.5, 7.5, 7.5, 0, 0
7.5, 7.5, 7.5, 7.5, 0, 0
0.230579, 0.230579, -0, 0, 0.230579, 0.230579
9, 9, 9, 9, 0, 0
7.5, 7.5, 7.5, 7.5, 0, 0
0, 0, -0, 0, 0, 0
9.57256, 9.57256, 10, 10, -0.427438, -0.427438
-0.52272, -0.52272, -1, -1, 0.47728, 0.47728
0, 0, -0, 0, 0, 0
6, 6, 6, 6, 0, 0
2.4209, 2.4209, 2, 2, 0.420895, 0.420895
0, 0, -0, 0, 0, 0
0, 0, -0, 0, 0, 0
0.647857, 0.647857, 1, 1, -0.352143, -0.352143
6.10822, 6.10822, 6, 6, 0.108217, 0.108217
7.5, 7.5, 7.5, 7.5, 0, 0
